Month,Product_ID,Region_ID,Actual_Demand,Forecast_Demand
2023-01-01,P001,R01,7133,6571
2023-01-01,P001,R02,8693,9067
2023-01-01,P001,R03,7685,7013
2023-01-01,P001,R04,13359,12110
2023-01-01,P002,R01,8414,9072
2023-01-01,P002,R02,13088,13796
2023-01-01,P002,R03,4146,4227
2023-01-01,P002,R04,17017,15900
2023-01-01,P003,R01,7511,7178
2023-01-01,P003,R02,6622,6024
2023-01-01,P003,R03,3054,3142
2023-01-01,P003,R04,16977,17608
2023-01-01,P004,R01,1280,1235
2023-01-01,P004,R02,6037,5841
2023-01-01,P004,R03,7559,7753
2023-01-01,P004,R04,9213,10034
2023-01-01,P005,R01,8755,8570
2023-01-01,P005,R02,10509,10495
2023-01-01,P005,R03,2999,3117
2023-01-01,P005,R04,8403,8138
2023-01-01,P006,R01,5164,5544
2023-01-01,P006,R02,10385,11104
2023-01-01,P006,R03,1562,1616
2023-01-01,P006,R04,6916,6967
2023-01-01,P007,R01,5504,6036
2023-01-01,P007,R02,8352,8690
2023-01-01,P007,R03,7243,7450
2023-01-01,P007,R04,9940,10689
2023-01-01,P008,R01,1550,1567
2023-01-01,P008,R02,15467,14671
2023-01-01,P008,R03,5426,5032
2023-01-01,P008,R04,15779,15687
2023-02-01,P001,R01,3980,3992
2023-02-01,P001,R02,6708,7147
2023-02-01,P001,R03,7952,7378
2023-02-01,P001,R04,22745,23569
2023-02-01,P002,R01,2132,2048
2023-02-01,P002,R02,9435,10263
2023-02-01,P002,R03,402,399
2023-02-01,P002,R04,6630,6792
2023-02-01,P003,R01,3087,3179
2023-02-01,P003,R02,9911,9100
2023-02-01,P003,R03,8033,8598
2023-02-01,P003,R04,12112,11298
2023-02-01,P004,R01,15429,15112
2023-02-01,P004,R02,5837,6038
2023-02-01,P004,R03,6343,5778
2023-02-01,P004,R04,16053,16311
2023-02-01,P005,R01,6985,6859
2023-02-01,P005,R02,12845,11724
2023-02-01,P005,R03,7803,8156
2023-02-01,P005,R04,17348,17352
2023-02-01,P006,R01,5693,5469
2023-02-01,P006,R02,10479,9607
2023-02-01,P006,R03,2840,2866
2023-02-01,P006,R04,7609,7313
2023-02-01,P007,R01,7236,7882
2023-02-01,P007,R02,2650,2698
2023-02-01,P007,R03,7210,6900
2023-02-01,P007,R04,14066,14146
2023-02-01,P008,R01,8173,8237
2023-02-01,P008,R02,10196,10658
2023-02-01,P008,R03,6495,7017
2023-02-01,P008,R04,19075,20839
2023-03-01,P001,R01,6208,6478
2023-03-01,P001,R02,8093,8167
2023-03-01,P001,R03,6128,5790
2023-03-01,P001,R04,13595,13331
2023-03-01,P002,R01,7521,7504
2023-03-01,P002,R02,5669,5247
2023-03-01,P002,R03,2308,2195
2023-03-01,P002,R04,6061,6648
2023-03-01,P003,R01,4540,4773
2023-03-01,P003,R02,12564,12518
2023-03-01,P003,R03,11001,10398
2023-03-01,P003,R04,12210,12389
2023-03-01,P004,R01,9047,8561
2023-03-01,P004,R02,5444,5109
2023-03-01,P004,R03,6762,6212
2023-03-01,P004,R04,17281,16748
2023-03-01,P005,R01,9903,9985
2023-03-01,P005,R02,5562,5183
2023-03-01,P005,R03,9467,8899
2023-03-01,P005,R04,24840,24299
2023-03-01,P006,R01,6541,6527
2023-03-01,P006,R02,7569,7966
2023-03-01,P006,R03,1783,1806
2023-03-01,P006,R04,7854,8038
2023-03-01,P007,R01,3216,3342
2023-03-01,P007,R02,7429,7356
2023-03-01,P007,R03,2886,2795
2023-03-01,P007,R04,16742,17747
2023-03-01,P008,R01,7918,8437
2023-03-01,P008,R02,10403,9683
2023-03-01,P008,R03,5095,5556
2023-03-01,P008,R04,7811,8482
2023-04-01,P001,R01,1374,1475
2023-04-01,P001,R02,2759,2716
2023-04-01,P001,R03,5386,5754
2023-04-01,P001,R04,8011,8216
2023-04-01,P002,R01,2475,2329
2023-04-01,P002,R02,8134,8581
2023-04-01,P002,R03,1788,1754
2023-04-01,P002,R04,9228,8844
2023-04-01,P003,R01,6950,7475
2023-04-01,P003,R02,11109,11913
2023-04-01,P003,R03,5860,6287
2023-04-01,P003,R04,16666,17864
2023-04-01,P004,R01,6902,6976
2023-04-01,P004,R02,16968,17364
2023-04-01,P004,R03,3743,4079
2023-04-01,P004,R04,7893,7307
2023-04-01,P005,R01,8247,8752
2023-04-01,P005,R02,9454,9503
2023-04-01,P005,R03,2435,2667
2023-04-01,P005,R04,14951,15367
2023-04-01,P006,R01,4898,4567
2023-04-01,P006,R02,10931,11620
2023-04-01,P006,R03,6148,6360
2023-04-01,P006,R04,6739,6265
2023-04-01,P007,R01,5982,5394
2023-04-01,P007,R02,7896,7964
