Month,Product_ID,Region_ID,Actual_Demand,Year,Month_Number,Time_Index,Demand_Lag_1,Demand_Lag_2,Demand_Lag_3,Demand_Lag_6,Demand_Lag_12,Demand_Rolling_Mean_3,Demand_Rolling_Mean_6,Quarter
2023-01-01,P001,R01,7133,2023,1,1,,,,,,,,1
2023-02-01,P001,R01,3980,2023,2,2,7133.0,,,,,,,1
2023-03-01,P001,R01,6208,2023,3,3,3980.0,7133.0,,,,,,1
2023-04-01,P001,R01,1374,2023,4,4,6208.0,3980.0,7133.0,,,5773.666666666667,,2
2023-05-01,P001,R01,11239,2023,5,5,1374.0,6208.0,3980.0,,,3854.0,,2
2023-06-01,P001,R01,11983,2023,6,6,11239.0,1374.0,6208.0,,,6273.666666666667,,2
2023-07-01,P001,R01,7447,2023,7,7,11983.0,11239.0,1374.0,7133.0,,8198.666666666666,6986.166666666667,3
2023-08-01,P001,R01,9035,2023,8,8,7447.0,11983.0,11239.0,3980.0,,10223.0,7038.5,3
2023-09-01,P001,R01,9988,2023,9,9,9035.0,7447.0,11983.0,6208.0,,9488.333333333334,7881.0,3
2023-10-01,P001,R01,7346,2023,10,10,9988.0,9035.0,7447.0,1374.0,,8823.333333333334,8511.0,4
2023-11-01,P001,R01,15185,2023,11,11,7346.0,9988.0,9035.0,11239.0,,8789.666666666666,9506.333333333334,4
2023-12-01,P001,R01,5532,2023,12,12,15185.0,7346.0,9988.0,11983.0,,10839.666666666666,10164.0,4
2024-01-01,P001,R01,11500,2024,1,13,5532.0,15185.0,7346.0,7447.0,7133.0,9354.333333333334,9088.833333333334,1
2024-02-01,P001,R01,7863,2024,2,14,11500.0,5532.0,15185.0,9035.0,3980.0,10739.0,9764.333333333334,1
2024-03-01,P001,R01,3512,2024,3,15,7863.0,11500.0,5532.0,9988.0,6208.0,8298.333333333334,9569.0,1
2024-04-01,P001,R01,10011,2024,4,16,3512.0,7863.0,11500.0,7346.0,1374.0,7625.0,8489.666666666666,2
2024-05-01,P001,R01,8609,2024,5,17,10011.0,3512.0,7863.0,15185.0,11239.0,7128.666666666667,8933.833333333334,2
2024-06-01,P001,R01,10687,2024,6,18,8609.0,10011.0,3512.0,5532.0,11983.0,7377.333333333333,7837.833333333333,2
2024-07-01,P001,R01,6193,2024,7,19,10687.0,8609.0,10011.0,11500.0,7447.0,9769.0,8697.0,3
2024-08-01,P001,R01,11369,2024,8,20,6193.0,10687.0,8609.0,7863.0,9035.0,8496.333333333334,7812.5,3
