Month,Product_ID,Region_ID,Actual_Demand,Year,Month_Number,Time_Index
2023-01-01,P001,R01,7133,2023,1,1
2023-01-01,P001,R02,8693,2023,1,1
2023-01-01,P001,R03,7685,2023,1,1
2023-01-01,P001,R04,13359,2023,1,1
2023-01-01,P002,R01,8414,2023,1,1
2023-01-01,P002,R02,13088,2023,1,1
2023-01-01,P002,R03,4146,2023,1,1
2023-01-01,P002,R04,17017,2023,1,1
2023-01-01,P003,R01,7511,2023,1,1
2023-01-01,P003,R02,6622,2023,1,1
2023-01-01,P003,R03,3054,2023,1,1
2023-01-01,P003,R04,16977,2023,1,1
2023-01-01,P004,R01,1280,2023,1,1
2023-01-01,P004,R02,6037,2023,1,1
2023-01-01,P004,R03,7559,2023,1,1
2023-01-01,P004,R04,9213,2023,1,1
2023-01-01,P005,R01,8755,2023,1,1
2023-01-01,P005,R02,10509,2023,1,1
2023-01-01,P005,R03,2999,2023,1,1
2023-01-01,P005,R04,8403,2023,1,1
2023-01-01,P006,R01,5164,2023,1,1
2023-01-01,P006,R02,10385,2023,1,1
2023-01-01,P006,R03,1562,2023,1,1
2023-01-01,P006,R04,6916,2023,1,1
2023-01-01,P007,R01,5504,2023,1,1
2023-01-01,P007,R02,8352,2023,1,1
2023-01-01,P007,R03,7243,2023,1,1
2023-01-01,P007,R04,9940,2023,1,1
2023-01-01,P008,R01,1550,2023,1,1
2023-01-01,P008,R02,15467,2023,1,1
2023-01-01,P008,R03,5426,2023,1,1
2023-01-01,P008,R04,15779,2023,1,1
2023-02-01,P001,R01,3980,2023,2,2
2023-02-01,P001,R02,6708,2023,2,2
2023-02-01,P001,R03,7952,2023,2,2
2023-02-01,P001,R04,22745,2023,2,2
2023-02-01,P002,R01,2132,2023,2,2
2023-02-01,P002,R02,9435,2023,2,2
2023-02-01,P002,R03,402,2023,2,2
2023-02-01,P002,R04,6630,2023,2,2
2023-02-01,P003,R01,3087,2023,2,2
2023-02-01,P003,R02,9911,2023,2,2
2023-02-01,P003,R03,8033,2023,2,2
2023-02-01,P003,R04,12112,2023,2,2
2023-02-01,P004,R01,15429,2023,2,2
2023-02-01,P004,R02,5837,2023,2,2
2023-02-01,P004,R03,6343,2023,2,2
2023-02-01,P004,R04,16053,2023,2,2
2023-02-01,P005,R01,6985,2023,2,2
2023-02-01,P005,R02,12845,2023,2,2
2023-02-01,P005,R03,7803,2023,2,2
2023-02-01,P005,R04,17348,2023,2,2
2023-02-01,P006,R01,5693,2023,2,2
2023-02-01,P006,R02,10479,2023,2,2
2023-02-01,P006,R03,2840,2023,2,2
2023-02-01,P006,R04,7609,2023,2,2
2023-02-01,P007,R01,7236,2023,2,2
2023-02-01,P007,R02,2650,2023,2,2
2023-02-01,P007,R03,7210,2023,2,2
2023-02-01,P007,R04,14066,2023,2,2
2023-02-01,P008,R01,8173,2023,2,2
2023-02-01,P008,R02,10196,2023,2,2
2023-02-01,P008,R03,6495,2023,2,2
2023-02-01,P008,R04,19075,2023,2,2
2023-03-01,P001,R01,6208,2023,3,3
2023-03-01,P001,R02,8093,2023,3,3
2023-03-01,P001,R03,6128,2023,3,3
2023-03-01,P001,R04,13595,2023,3,3
2023-03-01,P002,R01,7521,2023,3,3
2023-03-01,P002,R02,5669,2023,3,3
2023-03-01,P002,R03,2308,2023,3,3
2023-03-01,P002,R04,6061,2023,3,3
2023-03-01,P003,R01,4540,2023,3,3
2023-03-01,P003,R02,12564,2023,3,3
2023-03-01,P003,R03,11001,2023,3,3
2023-03-01,P003,R04,12210,2023,3,3
2023-03-01,P004,R01,9047,2023,3,3
2023-03-01,P004,R02,5444,2023,3,3
2023-03-01,P004,R03,6762,2023,3,3
2023-03-01,P004,R04,17281,2023,3,3
2023-03-01,P005,R01,9903,2023,3,3
2023-03-01,P005,R02,5562,2023,3,3
2023-03-01,P005,R03,9467,2023,3,3
2023-03-01,P005,R04,24840,2023,3,3
2023-03-01,P006,R01,6541,2023,3,3
2023-03-01,P006,R02,7569,2023,3,3
2023-03-01,P006,R03,1783,2023,3,3
2023-03-01,P006,R04,7854,2023,3,3
2023-03-01,P007,R01,3216,2023,3,3
2023-03-01,P007,R02,7429,2023,3,3
2023-03-01,P007,R03,2886,2023,3,3
2023-03-01,P007,R04,16742,2023,3,3
2023-03-01,P008,R01,7918,2023,3,3
2023-03-01,P008,R02,10403,2023,3,3
2023-03-01,P008,R03,5095,2023,3,3
2023-03-01,P008,R04,7811,2023,3,3
2023-04-01,P001,R01,1374,2023,4,4
2023-04-01,P001,R02,2759,2023,4,4
2023-04-01,P001,R03,5386,2023,4,4
2023-04-01,P001,R04,8011,2023,4,4
2023-04-01,P002,R01,2475,2023,4,4
2023-04-01,P002,R02,8134,2023,4,4
2023-04-01,P002,R03,1788,2023,4,4
2023-04-01,P002,R04,9228,2023,4,4
2023-04-01,P003,R01,6950,2023,4,4
2023-04-01,P003,R02,11109,2023,4,4
2023-04-01,P003,R03,5860,2023,4,4
2023-04-01,P003,R04,16666,2023,4,4
2023-04-01,P004,R01,6902,2023,4,4
2023-04-01,P004,R02,16968,2023,4,4
2023-04-01,P004,R03,3743,2023,4,4
2023-04-01,P004,R04,7893,2023,4,4
2023-04-01,P005,R01,8247,2023,4,4
2023-04-01,P005,R02,9454,2023,4,4
2023-04-01,P005,R03,2435,2023,4,4
2023-04-01,P005,R04,14951,2023,4,4
2023-04-01,P006,R01,4898,2023,4,4
2023-04-01,P006,R02,10931,2023,4,4
2023-04-01,P006,R03,6148,2023,4,4
2023-04-01,P006,R04,6739,2023,4,4
2023-04-01,P007,R01,5982,2023,4,4
2023-04-01,P007,R02,7896,2023,4,4
2023-04-01,P007,R03,4394,2023,4,4
2023-04-01,P007,R04,15079,2023,4,4
2023-04-01,P008,R01,4994,2023,4,4
2023-04-01,P008,R02,6544,2023,4,4
2023-04-01,P008,R03,4234,2023,4,4
2023-04-01,P008,R04,15002,2023,4,4
2023-05-01,P001,R01,11239,2023,5,5
2023-05-01,P001,R02,9569,2023,5,5
2023-05-01,P001,R03,11015,2023,5,5
2023-05-01,P001,R04,12226,2023,5,5
2023-05-01,P002,R01,6112,2023,5,5
2023-05-01,P002,R02,9208,2023,5,5
2023-05-01,P002,R03,6614,2023,5,5
2023-05-01,P002,R04,9313,2023,5,5
2023-05-01,P003,R01,10269,2023,5,5
2023-05-01,P003,R02,6960,2023,5,5
2023-05-01,P003,R03,2135,2023,5,5
2023-05-01,P003,R04,10844,2023,5,5
2023-05-01,P004,R01,7644,2023,5,5
2023-05-01,P004,R02,5630,2023,5,5
2023-05-01,P004,R03,7071,2023,5,5
2023-05-01,P004,R04,16257,2023,5,5
2023-05-01,P005,R01,6757,2023,5,5
2023-05-01,P005,R02,8629,2023,5,5
2023-05-01,P005,R03,6732,2023,5,5
2023-05-01,P005,R04,13841,2023,5,5
2023-05-01,P006,R01,3241,2023,5,5
2023-05-01,P006,R02,15170,2023,5,5
