Order_ID,Order_Date,Customer_ID,Product_ID,Region_ID,Quantity,Unit_Price,Revenue,Delivery_Days,Order_Status
SO00001,2025-03-12,C005,P007,R04,1563,192.06,300189.78,11,Completed
SO00002,2025-10-08,C012,P007,R01,979,65.8,64418.2,25,Completed
SO00003,2023-12-10,C035,P003,R02,733,326.03,238979.99,29,Delayed
SO00004,2024-09-16,C047,P003,R04,1535,427.48,656181.8,7,Completed
SO00005,2024-09-16,C039,P007,R01,844,270.91,228648.04,17,Completed
SO00006,2023-05-07,C032,P004,R02,792,248.18,196558.56,6,Completed
SO00007,2025-10-01,C045,P002,R03,1728,382.66,661236.48,6,Completed
SO00008,2025-11-05,C022,P005,R02,1869,466.25,871421.25,15,Completed
SO00009,2023-11-25,C028,P001,R04,1101,124.85,137459.85,22,Completed
SO00010,2025-09-14,C028,P005,R04,1546,172.64,266901.44,3,Completed
SO00011,2023-11-01,C013,P006,R01,1818,166.3,302333.4,8,Completed
SO00012,2024-07-21,C037,P004,R04,1298,77.54,100646.92,14,Completed
SO00013,2023-10-05,C032,P002,R02,1681,287.89,483943.09,22,Completed
SO00014,2024-02-04,C012,P008,R01,1583,354.23,560746.09,5,Completed
SO00015,2023-11-30,C017,P003,R03,748,312.59,233817.32,4,Completed
SO00016,2024-03-29,C032,P001,R02,1298,324.49,421188.02,4,Completed
SO00017,2024-08-13,C006,P004,R04,1489,304.49,453385.61,25,Completed
SO00018,2025-04-18,C038,P002,R02,329,245.74,80848.46,4,Completed
SO00019,2024-11-28,C048,P005,R04,193,420.95,81243.35,29,Delayed
SO00020,2023-08-01,C020,P001,R01,813,345.23,280671.99,21,Completed
SO00021,2025-02-20,C020,P007,R01,913,66.16,60404.08,11,Completed
SO00022,2025-01-28,C018,P003,R04,921,86.01,79215.21,27,Delayed
SO00023,2023-05-10,C030,P008,R02,1371,143.81,197163.51,18,Completed
SO00024,2025-06-20,C049,P005,R03,51,498.2,25408.2,14,Completed
SO00025,2024-09-13,C009,P008,R02,1306,187.62,245031.72,18,Completed
SO00026,2025-07-24,C033,P007,R02,1993,428.45,853900.85,19,Completed
SO00027,2023-07-03,C020,P008,R01,303,24.41,7396.23,27,Delayed
SO00028,2024-12-28,C046,P001,R01,387,253.09,97945.83,5,Completed
