forecast_month,Product_ID,Region_ID,Actual_Demand,Model,forecast_demand,Product_Category,Product_Line,Region,evaluation_scope,forecast_error,absolute_error,squared_error
2025-07-01,P001,R01,3906,Naive Forecast,6170.0,Battery System,EV Component,North America,Final test / rolling one-month-ahead,2264.0,2264.0,5125696.0
2025-07-01,P001,R01,3906,Random Forest,6017.7671340165625,Battery System,EV Component,North America,Final test / rolling one-month-ahead,2111.7671340165625,2111.7671340165625,4459560.428312526
2025-07-01,P001,R01,3906,Seasonal Naive,6193.0,Battery System,EV Component,North America,Final test / rolling one-month-ahead,2287.0,2287.0,5230369.0
2025-07-01,P001,R02,16164,Naive Forecast,13317.0,Battery System,EV Component,Europe,Final test / rolling one-month-ahead,-2847.0,2847.0,8105409.0
2025-07-01,P001,R02,16164,Random Forest,11063.76110184126,Battery System,EV Component,Europe,Final test / rolling one-month-ahead,-5100.238898158739,5100.238898158739,26012436.81829147
2025-07-01,P001,R02,16164,Seasonal Naive,13842.0,Battery System,EV Component,Europe,Final test / rolling one-month-ahead,-2322.0,2322.0,5391684.0
2025-07-01,P001,R03,1672,Naive Forecast,6697.0,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,5025.0,5025.0,25250625.0
2025-07-01,P001,R03,1672,Random Forest,7401.136085079746,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,5729.136085079746,5729.136085079746,32823000.281362884
2025-07-01,P001,R03,1672,Seasonal Naive,11627.0,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,9955.0,9955.0,99102025.0
2025-07-01,P001,R04,13417,Naive Forecast,11271.0,Battery System,EV Component,South America,Final test / rolling one-month-ahead,-2146.0,2146.0,4605316.0
2025-07-01,P001,R04,13417,Random Forest,15253.319605255849,Battery System,EV Component,South America,Final test / rolling one-month-ahead,1836.3196052558487,1836.3196052558487,3372069.692646996
2025-07-01,P001,R04,13417,Seasonal Naive,8923.0,Battery System,EV Component,South America,Final test / rolling one-month-ahead,-4494.0,4494.0,20196036.0
2025-07-01,P002,R01,10436,Naive Forecast,7962.0,Powertrain,Automotive Component,North America,Final test / rolling one-month-ahead,-2474.0,2474.0,6120676.0
2025-07-01,P002,R01,10436,Random Forest,7285.875236149895,Powertrain,Automotive Component,North America,Final test / rolling one-month-ahead,-3150.1247638501054,3150.1247638501054,9923286.027821682
2025-07-01,P002,R01,10436,Seasonal Naive,8866.0,Powertrain,Automotive Component,North America,Final test / rolling one-month-ahead,-1570.0,1570.0,2464900.0
2025-07-01,P002,R02,7965,Naive Forecast,6469.0,Powertrain,Automotive Component,Europe,Final test / rolling one-month-ahead,-1496.0,1496.0,2238016.0
2025-07-01,P002,R02,7965,Random Forest,9279.732883257728,Powertrain,Automotive Component,Europe,Final test / rolling one-month-ahead,1314.7328832577277,1314.7328832577277,1728522.554319178
2025-07-01,P002,R02,7965,Seasonal Naive,11351.0,Powertrain,Automotive Component,Europe,Final test / rolling one-month-ahead,3386.0,3386.0,11464996.0
2025-07-01,P002,R03,6384,Naive Forecast,7994.0,Powertrain,Automotive Component,Asia,Final test / rolling one-month-ahead,1610.0,1610.0,2592100.0
2025-07-01,P002,R03,6384,Random Forest,6577.736610759336,Powertrain,Automotive Component,Asia,Final test / rolling one-month-ahead,193.73661075933614,193.73661075933614,37533.874348514524
