forecast_month,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
2025-07-01,Random Forest,2025-07-01,2025-07-01,32,1,278728.0,275475.8165199628,100586.11346599704,629425922.7471855,-3252.18348003715,3143.3160458124075,4435.03777727423,36.087552548002726,-101.63073375116093,-1.1667946815666708,18,14
2025-07-01,Naive Forecast,2025-07-01,2025-07-01,32,1,278728.0,267240.0,101750.0,578726884.0,-11488.0,3179.6875,4252.6715279927275,36.505123274303266,-359.0,-4.121580896070721,12,20
2025-07-01,Seasonal Naive,2025-07-01,2025-07-01,32,1,278728.0,303938.0,133326.0,1001604094.0,25210.0,4166.4375,5594.651726202445,47.833730375132745,787.8125,9.044660026979708,17,15
2025-08-01,Random Forest,2025-08-01,2025-08-01,32,1,281137.0,278734.5007468824,113297.91398583446,610300742.1519159,-2402.4992531176413,3540.559812057327,4367.138444364613,40.29989435251655,-75.07810165992629,-0.8545653020120586,18,14
2025-08-01,Seasonal Naive,2025-08-01,2025-08-01,32,1,281137.0,298983.0,120762.0,774043112.0,17846.0,3773.8125,4918.215860451836,42.95485830751555,557.6875,6.347794847352003,16,16
2025-08-01,Naive Forecast,2025-08-01,2025-08-01,32,1,281137.0,278728.0,164293.0,1351821485.0,-2409.0,5134.15625,6499.570863237818,58.43876828734745,-75.28125,-0.8568776077143884,14,18
2025-09-01,Random Forest,2025-09-01,2025-09-01,32,1,289688.0,294864.647262056,103381.46072426857,541679245.0188247,5176.64726205598,3230.670647633393,4114.301448221589,35.68717403698758,161.77022693924937,1.7869733168291333,14,18
2025-09-01,Seasonal Naive,2025-09-01,2025-09-01,32,1,289688.0,316403.0,135519.0,809604751.0,26715.0,4234.96875,5029.925294549612,46.78101957968573,834.84375,9.221990555356108,17,15
2025-09-01,Naive Forecast,2025-09-01,2025-09-01,32,1,289688.0,281137.0,145027.0,946825551.0,-8551.0,4532.09375,5439.512705082138,50.06317141200188,-267.21875,-2.9517964154538676,17,15
2025-10-01,Random Forest,2025-10-01,2025-10-01,32,1,337495.0,302186.15809576743,85468.6457928557,468094890.79575145,-35308.84190423255,2670.895181026741,3824.6523158801288,25.324418374451685,-1103.4013095072671,-10.462034075832989,12,20
2025-10-01,Seasonal Naive,2025-10-01,2025-10-01,32,1,337495.0,338457.0,105868.0,509614788.0,962.0,3308.375,3990.671888917955,31.36876101868176,30.0625,0.2850412598705166,13,19
2025-10-01,Naive Forecast,2025-10-01,2025-10-01,32,1,337495.0,289688.0,133099.0,880950901.0,-47807.0,4159.34375,5246.876752530976,39.437324997407366,-1493.96875,-14.165246892546556,13,19
2025-11-01,Random Forest,2025-11-01,2025-11-01,32,1,270662.0,315333.13264982414,93512.99086727944,501670512.66618073,44671.13264982428,2922.2809646024825,3959.4448500791304,34.54973024188081,1395.9728953070087,16.504397606544057,22,10
2025-11-01,Seasonal Naive,2025-11-01,2025-11-01,32,1,270662.0,305646.0,119726.0,631395654.0,34984.0,3741.4375,4441.971880539092,44.23450650626981,1093.25,12.925346003502524,19,13
2025-11-01,Naive Forecast,2025-11-01,2025-11-01,32,1,270662.0,337495.0,134639.0,924590329.0,66833.0,4207.46875,5375.262577888638,49.74433056727579,2088.53125,24.69242080528482,20,12
2025-12-01,Random Forest,2025-12-01,2025-12-01,32,1,306512.0,294751.83757206885,106900.96900104423,709736002.1639115,-11760.162427931213,3340.655281282632,4709.485117040103,34.876601568957895,-367.5050758728504,-3.8367706412575084,17,15
2025-12-01,Seasonal Naive,2025-12-01,2025-12-01,32,1,306512.0,324784.0,133480.0,902864426.0,18272.0,4171.25,5311.733550593441,43.548050321031475,571.0,5.96126742183014,19,13
2025-12-01,Naive Forecast,2025-12-01,2025-12-01,32,1,306512.0,270662.0,138844.0,1020750832.0,-35850.0,4338.875,5647.872475543335,45.29806337109151,-1120.3125,-11.696116302134989,10,22
