forecast_month,Product_ID,Region_ID,Actual_Demand,Model,forecast_demand,Product_Category,Product_Line,Region,evaluation_scope,forecast_error,absolute_error,squared_error,forecast_error_pct,forecast_direction,exception_priority
2025-07-01,P003,R04,31424,Random Forest,14682.857356782106,Motor Component,EV Component,South America,Final test / rolling one-month-ahead,-16741.142643217892,16741.142643217892,280265857.00056857,-53.27502114058647,Underforecast,1
2025-12-01,P005,R04,3264,Random Forest,15367.662602383723,Sensor,Automotive Component,South America,Final test / rolling one-month-ahead,12103.662602383723,12103.662602383723,146498648.39234233,370.82299639656014,Overforecast,2
2025-12-01,P001,R04,24643,Random Forest,12859.879229199898,Battery System,EV Component,South America,Final test / rolling one-month-ahead,-11783.120770800102,11783.120770800102,138841935.09926078,-47.81528535811428,Underforecast,3
2025-12-01,P007,R02,17343,Random Forest,6621.68119220594,Transmission,Automotive Component,Europe,Final test / rolling one-month-ahead,-10721.318807794061,10721.318807794061,114946676.97835867,-61.81928621227043,Underforecast,4
2025-10-01,P003,R04,26405,Random Forest,16074.097480755368,Motor Component,EV Component,South America,Final test / rolling one-month-ahead,-10330.902519244632,10330.902519244632,106727546.86213507,-39.124796512950695,Underforecast,5
2025-09-01,P005,R04,23193,Random Forest,13064.995285200914,Sensor,Automotive Component,South America,Final test / rolling one-month-ahead,-10128.004714799086,10128.004714799086,102576479.50299253,-43.66836853705466,Underforecast,6
2025-12-01,P004,R04,18632,Random Forest,8521.322747724045,Electronic Module,Automotive Component,South America,Final test / rolling one-month-ahead,-10110.677252275955,10110.677252275955,102225794.49969044,-54.2651205038426,Underforecast,7
2025-11-01,P004,R04,5192,Random Forest,15127.290724205,Electronic Module,Automotive Component,South America,Final test / rolling one-month-ahead,9935.290724205,9935.290724205,98710001.77447392,191.35767958792374,Overforecast,8
2025-08-01,P001,R03,15541,Random Forest,5937.901155464314,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,-9603.098844535685,9603.098844535685,92219507.41792262,-61.792026539705844,Underforecast,9
2025-10-01,P001,R04,22560,Random Forest,13260.78141277882,Battery System,EV Component,South America,Final test / rolling one-month-ahead,-9299.21858722118,9299.21858722118,86475466.33291987,-41.21994054619317,Underforecast,10
2025-07-01,P006,R04,3376,Random Forest,12598.257079628058,Brake System,Automotive Component,South America,Final test / rolling one-month-ahead,9222.257079628058,9222.257079628058,85050025.64274983,273.1711220268974,Overforecast,11
2025-08-01,P004,R02,16181,Random Forest,7286.717672237657,Electronic Module,Automotive Component,Europe,Final test / rolling one-month-ahead,-8894.282327762343,8894.282327762343,79108258.12594552,-54.96744532329487,Underforecast,12
2025-11-01,P005,R02,18078,Random Forest,9283.028221502782,Sensor,Automotive Component,Europe,Final test / rolling one-month-ahead,-8794.971778497218,8794.971778497218,77351528.58456253,-48.65013706437227,Underforecast,13
2025-08-01,P006,R04,5272,Random Forest,13705.56114806027,Brake System,Automotive Component,South America,Final test / rolling one-month-ahead,8433.56114806027,8433.56114806027,71124953.63807164,159.968914037562,Overforecast,14
2025-10-01,P004,R04,16810,Random Forest,8819.47405074555,Electronic Module,Automotive Component,South America,Final test / rolling one-month-ahead,-7990.52594925445,7990.52594925445,63848504.94570873,-47.53436019782541,Underforecast,15
2025-09-01,P004,R03,0,Random Forest,7515.063712814963,Electronic Module,Automotive Component,Asia,Final test / rolling one-month-ahead,7515.063712814963,7515.063712814963,56476182.60766821,,Overforecast,16
2025-09-01,P004,R04,5721,Random Forest,13187.413499281223,Electronic Module,Automotive Component,South America,Final test / rolling one-month-ahead,7466.413499281223,7466.413499281223,55747330.54224888,130.50888829367634,Overforecast,17
2025-11-01,P004,R01,128,Random Forest,7494.169250793364,Electronic Module,Automotive Component,North America,Final test / rolling one-month-ahead,7366.169250793364,7366.169250793364,54260449.43133367,5754.819727182316,Overforecast,18
2025-08-01,P005,R02,13253,Random Forest,6097.676707424517,Sensor,Automotive Component,Europe,Final test / rolling one-month-ahead,-7155.323292575483,7155.323292575483,51198651.42127325,-53.990215744174776,Underforecast,19
2025-09-01,P008,R04,7396,Random Forest,14409.114553306346,Control Unit,Automotive Component,South America,Final test / rolling one-month-ahead,7013.114553306346,7013.114553306346,49183775.737797275,94.82307400360122,Overforecast,20
2025-11-01,P004,R02,3906,Random Forest,10648.082145965143,Electronic Module,Automotive Component,Europe,Final test / rolling one-month-ahead,6742.082145965143,6742.082145965143,45455671.662941955,172.60834987109942,Overforecast,21
2025-08-01,P005,R01,12247,Random Forest,5647.537298354424,Sensor,Automotive Component,North America,Final test / rolling one-month-ahead,-6599.462701645576,6599.462701645576,43552907.950411126,-53.88636157136912,Underforecast,22
2025-11-01,P003,R02,7785,Random Forest,14244.927537454374,Motor Component,EV Component,Europe,Final test / rolling one-month-ahead,6459.927537454374,6459.927537454374,41730663.78916133,82.97915911951668,Overforecast,23
2025-08-01,P002,R04,6928,Random Forest,13376.29887349184,Powertrain,Automotive Component,South America,Final test / rolling one-month-ahead,6448.29887349184,6448.29887349184,41580558.36187613,93.07590752730717,Overforecast,24
2025-09-01,P007,R04,7724,Random Forest,14167.383874790528,Transmission,Automotive Component,South America,Final test / rolling one-month-ahead,6443.383874790528,6443.383874790528,41517195.7579106,83.42029874146205,Overforecast,25
2025-12-01,P007,R03,1614,Random Forest,7988.126182450946,Transmission,Automotive Component,Asia,Final test / rolling one-month-ahead,6374.126182450946,6374.126182450946,40629484.58980667,394.9272727664774,Overforecast,26
2025-10-01,P002,R02,2473,Random Forest,8703.211387631527,Powertrain,Automotive Component,Europe,Final test / rolling one-month-ahead,6230.211387631527,6230.211387631527,38815533.93457356,251.92929185732015,Overforecast,27
2025-09-01,P002,R02,6727,Random Forest,12929.466468090195,Powertrain,Automotive Component,Europe,Final test / rolling one-month-ahead,6202.466468090195,6202.466468090195,38470590.28778326,92.20256381879285,Overforecast,28
2025-10-01,P005,R04,10801,Random Forest,16859.037102633472,Sensor,Automotive Component,South America,Final test / rolling one-month-ahead,6058.037102633472,6058.037102633472,36699813.53688376,56.08774282597419,Overforecast,29
2025-08-01,P001,R01,13590,Random Forest,7660.469006281047,Battery System,EV Component,North America,Final test / rolling one-month-ahead,-5929.530993718953,5929.530993718953,35159337.80547368,-43.6315746410519,Underforecast,30
2025-07-01,P001,R03,1672,Random Forest,7401.136085079746,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,5729.136085079746,5729.136085079746,32823000.281362884,342.6516797296499,Overforecast,31
2025-08-01,P007,R02,3641,Random Forest,9126.354923896488,Transmission,Automotive Component,Europe,Final test / rolling one-month-ahead,5485.354923896488,5485.354923896488,30089118.641115446,150.65517505895326,Overforecast,32
2025-08-01,P003,R01,5048,Random Forest,10529.19662507131,Motor Component,EV Component,North America,Final test / rolling one-month-ahead,5481.19662507131,5481.19662507131,30043516.44269312,108.58154962502596,Overforecast,33
2025-10-01,P003,R02,20362,Random Forest,14918.315785865563,Motor Component,EV Component,Europe,Final test / rolling one-month-ahead,-5443.684214134437,5443.684214134437,29633697.82321646,-26.734526147404168,Underforecast,34
2025-09-01,P003,R02,17143,Random Forest,11982.885297632916,Motor Component,EV Component,Europe,Final test / rolling one-month-ahead,-5160.114702367084,5160.114702367084,26626783.741584938,-30.100418260322485,Underforecast,35
2025-07-01,P001,R02,16164,Random Forest,11063.76110184126,Battery System,EV Component,Europe,Final test / rolling one-month-ahead,-5100.238898158739,5100.238898158739,26012436.81829147,-31.55307410392687,Underforecast,36
2025-11-01,P001,R03,5193,Random Forest,10266.627694004528,Battery System,EV Component,Asia,Final test / rolling one-month-ahead,5073.627694004528,5073.627694004528,25741697.977369707,97.70128430588346,Overforecast,37
2025-07-01,P003,R03,3146,Random Forest,8199.234487361016,Motor Component,EV Component,Asia,Final test / rolling one-month-ahead,5053.234487361016,5053.234487361016,25535178.784254752,160.6241095791804,Overforecast,38
2025-07-01,P003,R01,13162,Random Forest,8125.400018251018,Motor Component,EV Component,North America,Final test / rolling one-month-ahead,-5036.599981748982,5036.599981748982,25367339.376153845,-38.266220800402536,Underforecast,39
2025-09-01,P008,R03,1764,Random Forest,6717.533442819545,Control Unit,Automotive Component,Asia,Final test / rolling one-month-ahead,4953.533442819545,4953.533442819545,24537493.56913165,280.81255344782,Overforecast,40
2025-07-01,P004,R03,3094,Random Forest,7985.533383028898,Electronic Module,Automotive Component,Asia,Final test / rolling one-month-ahead,4891.533383028898,4891.533383028898,23927098.837286137,158.09739440946666,Overforecast,41
2025-11-01,P008,R03,845,Random Forest,5655.849529743134,Control Unit,Automotive Component,Asia,Final test / rolling one-month-ahead,4810.849529743134,4810.849529743134,23144273.19782973,569.3313052950454,Overforecast,42
2025-10-01,P007,R04,18449,Random Forest,13640.636639069266,Transmission,Automotive Component,South America,Final test / rolling one-month-ahead,-4808.363360930734,4808.363360930734,23120358.210741106,-26.063002661015418,Underforecast,43
2025-11-01,P006,R01,10487,Random Forest,5717.657118284496,Brake System,Automotive Component,North America,Final test / rolling one-month-ahead,-4769.342881715504,4769.342881715504,22746631.523370344,-45.47862002207975,Underforecast,44
2025-11-01,P007,R03,10397,Random Forest,5736.339050324675,Transmission,Automotive Component,Asia,Final test / rolling one-month-ahead,-4660.660949675325,4660.660949675325,21721760.487828504,-44.82697845220088,Underforecast,45
2025-09-01,P002,R01,2160,Random Forest,6791.967695505605,Powertrain,Automotive Component,North America,Final test / rolling one-month-ahead,4631.967695505605,4631.967695505605,21455124.732207503,214.44294886600022,Overforecast,46
2025-11-01,P002,R03,3973,Random Forest,8590.588191491266,Powertrain,Automotive Component,Asia,Final test / rolling one-month-ahead,4617.588191491266,4617.588191491266,21322120.706199583,116.2242182605403,Overforecast,47
2025-11-01,P007,R04,12290,Random Forest,16864.661535324438,Transmission,Automotive Component,South America,Final test / rolling one-month-ahead,4574.661535324438,4574.661535324438,20927528.162776943,37.22263250874238,Overforecast,48
2025-12-01,P003,R04,11942,Random Forest,16477.59114936453,Motor Component,EV Component,South America,Final test / rolling one-month-ahead,4535.591149364529,4535.591149364529,20571587.07419385,37.98016370260031,Overforecast,49
2025-07-01,P007,R03,9510,Random Forest,5051.294119227991,Transmission,Automotive Component,Asia,Final test / rolling one-month-ahead,-4458.705880772009,4458.705880772009,19880058.131230894,-46.88439411957948,Underforecast,50
2025-08-01,P007,R04,9809,Random Forest,14150.199875776998,Transmission,Automotive Component,South America,Final test / rolling one-month-ahead,4341.199875776998,4341.199875776998,18846016.361446224,44.2573134445611,Overforecast,51
2025-09-01,P005,R01,10962,Random Forest,6773.579113827066,Sensor,Automotive Component,North America,Final test / rolling one-month-ahead,-4188.420886172934,4188.420886172934,17542869.519729666,-38.20854667189321,Underforecast,52
2025-12-01,P005,R02,7417,Random Forest,11540.723811632814,Sensor,Automotive Component,Europe,Final test / rolling one-month-ahead,4123.7238116328135,4123.7238116328135,17005098.07462746,55.598271695197695,Overforecast,53
2025-09-01,P007,R01,11861,Random Forest,7751.434951420719,Transmission,Automotive Component,North America,Final test / rolling one-month-ahead,-4109.565048579281,4109.565048579281,16888524.88850443,-34.64771139515455,Underforecast,54
2025-12-01,P008,R01,10155,Random Forest,6072.042483974427,Control Unit,Automotive Component,North America,Final test / rolling one-month-ahead,-4082.9575160255727,4082.9575160255727,16670542.077669714,-40.206376327184365,Underforecast,55
2025-10-01,P001,R02,11017,Random Forest,15096.92334232299,Battery System,EV Component,Europe,Final test / rolling one-month-ahead,4079.9233423229907,4079.9233423229907,16645774.479232004,37.032979416565226,Overforecast,56
2025-12-01,P001,R01,12233,Random Forest,8268.225196016874,Battery System,EV Component,North America,Final test / rolling one-month-ahead,-3964.774803983126,3964.774803983126,15719439.246299434,-32.41048642183541,Underforecast,57
2025-07-01,P008,R02,10832,Random Forest,6871.577728235407,Control Unit,Automotive Component,Europe,Final test / rolling one-month-ahead,-3960.4222717645926,3960.4222717645926,15684944.570689017,-36.562244015552004,Underforecast,58
2025-09-01,P003,R04,17786,Random Forest,13932.27556444944,Motor Component,EV Component,South America,Final test / rolling one-month-ahead,-3853.724435550561,3853.724435550561,14851192.02515949,-21.667178879740028,Underforecast,59
2025-08-01,P006,R03,8928,Random Forest,5104.076393284582,Brake System,Automotive Component,Asia,Final test / rolling one-month-ahead,-3823.923606715418,3823.923606715418,14622391.74999545,-42.83068555908846,Underforecast,60
