Product_ID,Product_Category,Product_Line,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
P001,Battery System,EV Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,277198.0,274329.0,84383.0,495872469.0,-2869.0,3515.9583333333335,4545.47608892622,30.441417326243336,-119.54166666666667,-1.0350002525270745,11,13
P001,Battery System,EV Component,Random Forest,2025-07-01,2025-12-01,24,6,277198.0,252663.56486629997,86894.43151814379,531148318.2219697,-24534.435133699997,3620.601313255991,4704.378803403846,31.34742368925598,-1022.2681305708333,-8.85087018438084,11,13
P001,Battery System,EV Component,Naive Forecast,2025-07-01,2025-12-01,24,6,277198.0,256168.0,118442.0,915132102.0,-21030.0,4935.083333333333,6174.990222664324,42.72830251300515,-876.25,-7.586634824205081,12,12
P002,Powertrain,Automotive Component,Random Forest,2025-07-01,2025-12-01,24,6,206598.0,226206.7256043851,55318.00491293187,223307555.4104344,19608.725604385116,2304.9168713721615,3050.3248147426475,26.775673004061932,817.0302335160465,9.491246577597613,15,9
P002,Powertrain,Automotive Component,Naive Forecast,2025-07-01,2025-12-01,24,6,206598.0,202751.0,84863.0,396284251.0,-3847.0,3535.9583333333335,4063.4768107701398,41.07638989728845,-160.29166666666666,-1.8620703007773551,10,14
P002,Powertrain,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,206598.0,247974.0,91304.0,528777602.0,41376.0,3804.3333333333335,4693.868349595388,44.194038664459484,1724.0,20.027299393024133,16,8
P003,Motor Component,EV Component,Random Forest,2025-07-01,2025-12-01,24,6,297136.0,270050.95169943647,86845.75871516786,639706484.4772322,-27085.048300563532,3618.5732797986607,5162.793512548997,29.227612512508706,-1128.5436791901473,-9.115370840478278,11,13
P003,Motor Component,EV Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,297136.0,296112.0,119894.0,960135644.0,-1024.0,4995.583333333333,6325.002121211765,40.349873458618276,-42.666666666666664,-0.3446233374616337,11,13
P003,Motor Component,EV Component,Naive Forecast,2025-07-01,2025-12-01,24,6,297136.0,308801.0,125949.0,1054412213.0,11665.0,5247.875,6628.260873587682,42.387660869096976,486.0416666666667,3.9258117495019116,11,13
P004,Electronic Module,Automotive Component,Seasonal Naive,2025-07-01,2025-12-01,24,6,174218.0,202664.0,79390.0,474897280.0,28446.0,3307.9166666666665,4448.301548531379,45.56934415502416,1185.25,16.327819169087007,15,9
