Region_ID,Region,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
R01,North America,Random Forest,2025-07-01,2025-12-01,48,6,356447.0,335026.6862165502,116409.12908669197,431054779.2305667,-21420.31378344975,2425.1901893060826,2996.716186200623,32.65818735651919,-446.25653715520315,-6.0093965676383165,22,26
R01,North America,Seasonal Naive,2025-07-01,2025-12-01,48,6,356447.0,390001.0,144418.0,672984138.0,33554.0,3008.7083333333335,3744.396196317906,40.51598133803903,699.0416666666666,9.413461187778267,28,20
R01,North America,Naive Forecast,2025-07-01,2025-12-01,48,6,356447.0,336850.0,150269.0,690741155.0,-19597.0,3130.6041666666665,3793.473438574029,42.15745959427348,-408.2708333333333,-5.497872053909838,22,26
R02,Europe,Random Forest,2025-07-01,2025-12-01,48,6,483129.0,465574.1136659935,154542.21953681696,794798684.9657373,-17554.886334006456,3219.629573683687,4069.189837889871,31.987775425780065,-365.7267986251345,-3.63358157635051,20,28
R02,Europe,Seasonal Naive,2025-07-01,2025-12-01,48,6,483129.0,484294.0,191983.0,1094097719.0,1165.0,3999.6458333333335,4774.275073680471,39.737420026535354,24.270833333333332,0.24113642526116214,23,25
R02,Europe,Naive Forecast,2025-07-01,2025-12-01,48,6,483129.0,467007.0,192900.0,1214743084.0,-16122.0,4018.75,5030.62099380716,39.92722440590401,-335.875,-3.336996951124855,20,28
R03,Asia,Random Forest,2025-07-01,2025-12-01,48,6,276941.0,310922.0875665373,115753.4969400759,520389202.9564287,33981.087566537404,2411.5311862515814,3292.634466238081,41.797168689387235,707.9393243028626,12.270154136273577,32,16
R03,Asia,Seasonal Naive,2025-07-01,2025-12-01,48,6,276941.0,317843.0,154052.0,839846994.0,40902.0,3209.4166666666665,4182.919121259698,55.62628863187466,852.125,14.76921077052513,26,22
R03,Asia,Naive Forecast,2025-07-01,2025-12-01,48,6,276941.0,279087.0,175144.0,988636278.0,2146.0,3648.8333333333335,4538.346518832603,63.24235125893241,44.708333333333336,0.7748942915639071,23,25
R04,South America,Random Forest,2025-07-01,2025-12-01,48,6,647705.0,649823.2053974804,216443.24827369463,1714664648.3910367,2118.205397480526,4509.234339035304,5976.803508131522,33.41694880751185,44.12927911417762,0.3270324294980779,27,21
R04,South America,Seasonal Naive,2025-07-01,2025-12-01,48,6,647705.0,696073.0,258228.0,2022197974.0,48368.0,5379.75,6490.695221494639,39.868149852170355,1007.6666666666666,7.467597131410133,24,24
R04,South America,Naive Forecast,2025-07-01,2025-12-01,48,6,647705.0,642006.0,299339.0,2809545465.0,-5699.0,6236.229166666667,7650.633776851431,46.21532950957612,-118.72916666666667,-0.8798758694158606,21,27
